
MATLAB/BARON Interface Version: v1.82 [28-October-2016]
===========================================================================
 BARON version 17.8.9. Built: LNX-64 Wed Aug 9 15:54:55 EDT 2017 

 If you use this software, please cite:
 Tawarmalani, M. and N. V. Sahinidis, A polyhedral
 branch-and-cut approach to global optimization,
 Mathematical Programming, 103(2), 225-249, 2005.

 BARON is a product of The Optimization Firm, LLC. http://www.minlp.com/
 Parts of the BARON software were created at the
 University of Illinois at Urbana-Champaign.
===========================================================================
 Licensee: Jinsun Liu at University of Michigan, jinsunl@umich.edu.
 Unable to find/load CPLEX library libcplex.so: cannot open shared object file: No such file or directory
 Unable to find/load CPLEX library libcplex1270.so: cannot open shared object file: No such file or directory
 Changing option LPSol to 8 (CLP) and continuing.
 This BARON run may utilize the following subsolver(s)
 For LP/MIP: CLP/CBC                                         
 For NLP: IPOPT, FILTERSD, FILTERSQP
===========================================================================
 Doing local search
 Solving bounding LP
 Starting multi-start local search
 Done with local search
===========================================================================
  Iteration    Open nodes         Time (s)    Lower bound      Upper bound
          1+            1            18.25     195.215         0.100000E+52
          1+            1            31.74     195.215         0.100000E+52
          1+            1            42.92     195.215         0.100000E+52
          1+            1            53.35     195.215         0.100000E+52
          1+            1            73.05     195.215         0.100000E+52
          1+            1            84.38     195.215         0.100000E+52
          1+            1           101.02     195.215         0.100000E+52
          1+            1           120.49     195.215         0.100000E+52
          1             1           134.83     195.891         0.100000E+52
          2+            2           147.35     195.891         0.100000E+52
          2+            2           162.19     195.891         0.100000E+52
          2+            2           181.44     195.891         0.100000E+52
          2+            2           202.84     195.891         0.100000E+52
          2+            2           223.68     195.891         0.100000E+52
          2+            2           243.56     195.891         0.100000E+52
          3+            2           259.18     195.891         0.100000E+52
          3+            2           277.94     195.891         0.100000E+52
          3+            2           298.50     195.891         0.100000E+52
          3+            2           315.04     195.891         0.100000E+52
          3+            2           332.96     195.891         0.100000E+52
          4+            3           350.02     195.937         0.100000E+52
          4+            3           365.90     195.937         0.100000E+52
          4+            3           377.90     195.937         0.100000E+52
          4+            3           391.16     195.937         0.100000E+52
          4+            3           407.24     195.937         0.100000E+52
          4+            3           420.97     195.937         0.100000E+52
          5+            4           436.29     195.937         0.100000E+52
          5+            4           447.91     195.937         0.100000E+52
          5+            4           459.31     195.937         0.100000E+52
          5+            4           473.36     195.937         0.100000E+52
          5+            4           489.80     195.937         0.100000E+52
          5+            4           505.96     195.937         0.100000E+52
          5+            4           520.34     195.937         0.100000E+52
          5+            4           537.63     195.937         0.100000E+52
          6+            4           552.29     195.937         0.100000E+52
          6+            4           566.62     195.937         0.100000E+52
          6+            4           580.08     195.937         0.100000E+52
          6+            4           598.42     195.937         0.100000E+52
          6+            4           618.60     195.937         0.100000E+52
          6+            4           635.20     195.937         0.100000E+52
          6+            4           651.56     195.937         0.100000E+52
          6+            4           669.98     195.937         0.100000E+52
          7+            5           689.26     195.996         0.100000E+52
          7+            5           702.48     195.996         0.100000E+52
          7+            5           721.80     195.996         0.100000E+52
          7+            5           740.69     195.996         0.100000E+52
          7+            5           764.20     195.996         0.100000E+52
          7+            5           783.60     195.996         0.100000E+52
          8+            5           801.56     195.996         0.100000E+52
          8+            5           819.73     195.996         0.100000E+52
          8+            5           836.35     195.996         0.100000E+52
          8+            5           858.23     195.996         0.100000E+52
          8+            5           878.17     195.996         0.100000E+52
          9+            6           896.33     195.996         0.100000E+52
          9+            6           913.99     195.996         0.100000E+52
          9+            6           936.00     195.996         0.100000E+52
          9+            6           954.10     195.996         0.100000E+52
          9+            6           970.85     195.996         0.100000E+52
          9+            6           991.96     195.996         0.100000E+52
         10+            6          1014.21     195.996         0.100000E+52
         10+            6          1037.39     195.996         0.100000E+52
         10+            6          1061.07     195.996         0.100000E+52
         10+            6          1087.48     195.996         0.100000E+52
         10+            6          1112.09     195.996         0.100000E+52
         11+            7          1132.40     195.996         0.100000E+52
         11+            7          1155.08     195.996         0.100000E+52
         11+            7          1180.38     195.996         0.100000E+52
         11+            7          1203.96     195.996         0.100000E+52
         12+            8          1231.12     195.996         0.100000E+52
         12+            8          1255.00     195.996         0.100000E+52
         12+            8          1281.63     195.996         0.100000E+52
         13+            8          1312.78     195.996         0.100000E+52
         13+            8          1341.12     195.996         0.100000E+52
         13+            8          1370.43     195.996         0.100000E+52
         14+            9          1401.24     195.996         0.100000E+52
         14+            9          1431.15     195.996         0.100000E+52
         14+            9          1460.16     195.996         0.100000E+52
         15             9          1490.52     195.996         0.100000E+52
         15+            9          1519.59     195.996         0.100000E+52
         15+            9          1549.57     195.996         0.100000E+52
         16+            9          1580.23     196.055         0.100000E+52
         16+            9          1605.91     196.055         0.100000E+52
         16+            9          1630.65     196.055         0.100000E+52
         17            10          1658.99     196.055         0.100000E+52
         17+           10          1685.07     196.055         0.100000E+52
         17+           10          1714.85     196.055         0.100000E+52
         17+           10          1742.73     196.055         0.100000E+52
         18+           10          1767.96     196.055         0.100000E+52
         18+           10          1795.98     196.055         0.100000E+52
         18+           10          1824.98     196.055         0.100000E+52
         19+           11          1851.06     196.055         0.100000E+52
         19+           11          1873.74     196.055         0.100000E+52
         19+           11          1902.22     196.055         0.100000E+52
         20+           12          1930.28     196.055         0.100000E+52
         20+           12          1958.96     196.055         0.100000E+52
         20+           12          1988.08     196.055         0.100000E+52
         21+           13          2017.98     196.055         0.100000E+52
         21+           13          2047.62     196.055         0.100000E+52
         21+           13          2077.31     196.055         0.100000E+52
         22+           14          2106.94     196.055         0.100000E+52
         22+           14          2136.14     196.055         0.100000E+52
         22+           14          2165.30     196.055         0.100000E+52
         23+           14          2194.03     196.055         0.100000E+52
         23+           14          2221.81     196.055         0.100000E+52
         23+           14          2250.48     196.055         0.100000E+52
         24+           15          2279.38     196.055         0.100000E+52
         24+           15          2308.40     196.055         0.100000E+52
         25+           15          2338.65     196.055         0.100000E+52
         25+           15          2368.52     196.055         0.100000E+52
         25+           15          2398.11     196.055         0.100000E+52
         26+           16          2427.54     196.062         0.100000E+52
         26+           16          2456.39     196.062         0.100000E+52
         26+           16          2485.07     196.062         0.100000E+52
         27+           17          2512.77     196.062         0.100000E+52
         27+           17          2538.38     196.062         0.100000E+52
         27+           17          2564.10     196.062         0.100000E+52
         27+           17          2590.62     196.062         0.100000E+52
         28+           18          2616.14     196.062         0.100000E+52
         28+           18          2643.12     196.062         0.100000E+52
         28+           18          2670.37     196.062         0.100000E+52
         29+           19          2697.76     196.062         0.100000E+52
         29+           19          2725.78     196.062         0.100000E+52
         29+           19          2752.68     196.062         0.100000E+52
         29+           19          2779.90     196.062         0.100000E+52
         30+           20          2807.08     196.062         0.100000E+52
         30+           20          2835.07     196.062         0.100000E+52
         31+           20          2865.28     196.062         0.100000E+52
         31+           20          2893.01     196.062         0.100000E+52
         31+           20          2920.57     196.062         0.100000E+52
         31+           20          2947.58     196.062         0.100000E+52
         32+           21          2972.19     196.062         0.100000E+52
         32+           21          3001.44     196.062         0.100000E+52
         33+           21          3028.89     196.062         0.100000E+52
         33+           21          3054.95     196.062         0.100000E+52
         33+           21          3081.88     196.062         0.100000E+52
         33+           21          3105.40     196.062         0.100000E+52
         34+           22          3131.63     196.064         0.100000E+52
         34+           22          3160.28     196.064         0.100000E+52
         34+           22          3189.42     196.064         0.100000E+52
         35+           23          3216.40     196.064         0.100000E+52
         35+           23          3242.77     196.064         0.100000E+52
         35+           23          3272.35     196.064         0.100000E+52
         36+           23          3301.41     196.064         0.100000E+52
         36+           23          3327.66     196.064         0.100000E+52
         36+           23          3355.87     196.064         0.100000E+52
         36+           23          3385.50     196.064         0.100000E+52
